"","FIPS","est_total","min","max","no.biz","latitude","longitude","Name","State","average_per_business","pop.2019","dollar_per_cap"
"1",1001,32095538.16,24970538.16,39220538.16,545,32.554159206537,-86.5899642049206,"Autauga","AL",58890.895706422,55869,574.478479299791
"2",1003,329341284.27,244766284.27,413916284.27,4566,30.4724507040523,-87.7246241902008,"Baldwin","AL",72129.0591918528,223234,1475.31865338613
"3",1005,16174573.72,12774573.72,19574573.72,243,31.870944505667,-85.3342126248746,"Barbour","AL",66562.0317695473,24686,655.212416754436
"4",1007,15017238.01,10717238.01,19317238.01,162,32.9931312334034,-87.1087977240655,"Bibb","AL",92699.0000617284,22394,670.592034026972
"5",1009,37209061.96,27509061.96,46909061.96,514,33.9568293377972,-86.5483631930749,"Blount","AL",72391.1711284047,57826,643.465948881126
"6",1011,5723152.49,4273152.49,7173152.49,69,32.0923417092417,-85.7125172389333,"Bullock","AL",82944.2389855073,10101,566.592663102663
"7",1013,17452261.42,12727261.42,22177261.42,243,31.7710018999726,-86.6801026800537,"Butler","AL",71820.0058436214,19448,897.380780542986
"8",1015,92172954.17,67122954.17,117222954.17,1168,33.7506492343186,-85.8362211146471,"Calhoun","AL",78915.2004880137,113605,811.345928172175
"9",1017,26084039.37,19084039.37,33084039.37,351,32.9110105591591,-85.3945507868088,"Chambers","AL",74313.5024786325,33254,784.388024598545
"10",1019,9991520.91,7991520.91,11991520.91,167,34.1199911616943,-85.6108031885376,"Cherokee","AL",59829.4665269461,26196,381.413991067339
"11",1021,24663479.71,18963479.71,30363479.71,407,32.8643117238317,-86.6876557046677,"Chilton","AL",60598.2302457002,44428,555.133692941388
"12",1023,10824823.48,7524823.48,14124823.48,132,32.1534417093579,-88.2577051280899,"Choctaw","AL",82006.2384848485,12589,859.863649217571
"13",1025,27742856.3,19992856.3,35492856.3,316,31.7194989260715,-87.8336497907486,"Clarke","AL",87793.8490506329,23622,1174.44993226653
"14",1027,9772496.37,7147496.37,12397496.37,111,33.245931234386,-85.8213482813423,"Clay","AL",88040.5078378378,13235,738.382800906687
"15",1029,10040466.93,7090466.93,12990466.93,108,33.6227048724218,-85.4880020953598,"Cleburne","AL",92967.2863888889,14910,673.404891348089
"16",1031,56259997.33,41659997.33,70859997.33,599,31.4143353757961,-85.9931869642944,"Coffee","AL",93923.200884808,52342,1074.85379484926
"17",1033,81565174,57890174,105240174,741,34.6928260869727,-87.9804590824314,"Colbert","AL",110074.458839406,55241,1476.53326333701
"18",1035,8128508.28,6378508.28,9878508.28,107,31.4279767101065,-87.0034586478852,"Conecuh","AL",75967.3671028037,12067,673.614674732742
"19",1037,1492796.38,1392796.38,1592796.38,56,32.9289957866395,-86.2175366885677,"Coosa","AL",26657.0782142857,10663,139.997784863547
"20",1039,28736162.07,23061162.07,34411162.07,498,31.2385996147911,-86.4472345326386,"Covington","AL",57703.136686747,37049,775.625848740857
"21",1041,16131736.48,11381736.48,20881736.48,197,31.6993951295428,-86.2994441312561,"Crenshaw","AL",81886.9872081218,13772,1171.34304966599
"22",1043,100980402.1,73105402.1,128855402.1,1151,34.1367183843387,-86.9025602964549,"Cullman","AL",87732.7559513467,83768,1205.47705687136
"23",1045,23642340.01,17242340.01,30042340.01,355,31.4588809562137,-85.6036354732819,"Dale","AL",66598.1408732394,49172,480.808997193525
"24",1047,29691932.15,22391932.15,36991932.15,448,32.2967168521312,-87.1179395541153,"Dallas","AL",66276.6342633929,37196,798.256053070223
"25",1049,58692459,42742459,74642459,688,34.4205309419439,-85.8215676565475,"De Kalb","AL",85308.8066860465,71513,820.724329842127
"26",1051,46405561.46,36805561.46,56005561.46,851,32.5942649108837,-86.0849690366926,"Elmore","AL",54530.6245123384,81209,571.433726064845
"27",1053,34648925.49,25898925.49,43398925.49,480,31.1298179960212,-86.9083969415753,"Escambia","AL",72185.2614375,36633,945.839147489968
"28",1055,103559357.21,74734357.21,132384357.21,1139,34.0533276660756,-86.0270686552885,"Etowah","AL",90921.2969359087,102268,1012.62718748778
"29",1057,7906276.38,6306276.38,9506276.38,137,33.7396731971307,-87.7515570436957,"Fayette","AL",57710.0465693431,16302,484.988122929702
"30",1059,45552555.22,31877555.22,59227555.22,375,34.4430159221824,-87.8778623215694,"Franklin","AL",121473.480586667,31362,1452.47609272368
"31",1061,16982095.93,13082095.93,20882095.93,337,31.0948241220665,-85.93820432907,"Geneva","AL",50391.9760534125,26271,646.419851927981
"32",1063,3042878.06,2392878.06,3692878.06,66,32.911516062853,-87.9798588978271,"Greene","AL",46104.213030303,8111,375.154488965602
"33",1065,8620343.39,6945343.39,10295343.39,180,32.7928900807469,-87.6430766951294,"Hale","AL",47890.7966111111,14651,588.379181625828
"34",1067,10269857.41,8694857.41,11844857.41,244,31.5386836259271,-85.2347113850403,"Henry","AL",42089.5795491803,17205,596.911212438245
"35",1069,187092744.78,131817744.78,242367744.78,1918,31.1558316434335,-85.3032696177752,"Houston","AL",97545.7480604797,105882,1766.99292400975
"36",1071,40346401.73,30171401.73,50521401.73,461,34.7715660662627,-85.9865891175295,"Jackson","AL",87519.3096095445,51626,781.513224538023
"37",1073,1352531243.84,916831243.84,1788231243.84,10300,33.625787208626,-86.8141446825774,"Jefferson","AL",131313.712994175,658573,2053.73017697355
"38",1075,11081271.42,8331271.42,13831271.42,175,33.659611413291,-88.1024264827881,"Lamar","AL",63321.5509714286,13805,802.699849329953
"39",1077,120490829.86,88165829.86,152815829.86,1510,34.8795683655683,-87.7884887697304,"Lauderdale","AL",79795.2515629139,92729,1299.38670599273
"40",1079,17317844.05,13092844.05,21542844.05,291,34.5055908341831,-87.318373474823,"Lawrence","AL",59511.491580756,32924,525.994534382214
"41",1081,175161604.62,127036604.62,223286604.62,1940,32.6017669073259,-85.2537924355499,"Lee","AL",90289.4869175258,164542,1064.54038859379
"42",1083,70749279.04,52524279.04,88974279.04,922,34.8302869366082,-86.9854417490692,"Limestone","AL",76734.5759652929,98915,715.253288581105
"43",1085,5690643.91,4340643.91,7040643.91,97,32.1418004537458,-86.6244560588379,"Lowndes","AL",58666.4320618557,9726,585.096022002879
"44",1087,7312872.74,5687872.74,8937872.74,118,32.3905178806465,-85.6578353837422,"Macon","AL",61973.4977966102,18068,404.741683639584
"45",1089,620548202.23,426573202.23,814523202.23,5202,34.794665826095,-86.5656450494918,"Madison","AL",119290.311847366,372909,1664.07408303366
"46",1091,26055951.24,18030951.24,34080951.24,254,32.281461759889,-87.7251853539734,"Marengo","AL",102582.48519685,18863,1381.32594179081
"47",1093,25181203.1,17556203.1,32806203.1,315,34.1496078210061,-87.8310984588139,"Marion","AL",79940.3273015873,29709,847.595109226161
"48",1095,104067623.07,75742623.07,132392623.07,1270,34.3611413642265,-86.2981106508789,"Marshall","AL",81943.0102913386,96774,1075.36758912518
"49",1097,625431510.9,437331510.9,813531510.9,6033,30.9497674847274,-88.1963681310348,"Mobile","AL",103668.408901044,413210,1513.59238861596
"50",1099,17089975.71,12689975.71,21489975.71,244,31.5844009570382,-87.3628538957587,"Monroe","AL",70040.8840573771,20733,824.288608016206
"51",1101,400253509.41,272228509.41,528278509.41,3334,32.2571793710372,-86.2042133713837,"Montgomery","AL",120052.042414517,226486,1767.23289479261
"52",1103,183068476.01,127118476.01,239018476.01,1702,34.447025727518,-86.9435525921582,"Morgan","AL",107560.796715629,119679,1529.66248055214
"53",1105,4822330.66,3572330.66,6072330.66,77,32.6580185786318,-87.267287672348,"Perry","AL",62627.6709090909,8923,540.438267398857
"54",1107,9784890.83,7334890.83,12234890.83,155,33.2747719717827,-88.0716659074402,"Pickens","AL",63128.3279354839,19930,490.962911690918
"55",1109,33059214.5,23609214.5,42509214.5,428,31.7855864696324,-85.9519044751885,"Pike","AL",77241.1553738318,33114,998.345548710515
"56",1111,9596983.925,7621983.925,11571983.925,164,33.2685714984672,-85.4561253158722,"Randolph","AL",58518.1946646342,22722,422.365281445295
"57",1113,45188564.71,31388564.71,58988564.71,467,32.2993879888241,-85.193748878532,"Russell","AL",96763.521862955,57961,779.637423612429
"58",1115,54852786.15,40577786.15,69127786.15,691,33.6532149088636,-86.3631735982513,"St Clair","AL",79381.7455137482,89512,612.798129301099
"59",1117,425311218.215,303886218.215,546736218.215,4223,33.2288440343778,-86.6839810190131,"Shelby","AL",100713.05190978,217702,1953.63946226952
"60",1119,5730961.82,4430961.82,7030961.82,113,32.496405073339,-88.2080930194931,"Sumter","AL",50716.4762831858,12427,461.170179447976
"61",1121,77170828.23,53395828.23,100945828.23,634,33.4196772580456,-86.1170990800705,"Talladega","AL",121720.549258675,79978,964.900700567656
"62",1123,46337689.41,32462689.41,60212689.41,470,32.9302817357646,-85.8007134177857,"Tallapoosa","AL",98590.8285319149,40367,1147.91015953625
