"","state_name","latitude","longitude","est_total","min","max","no.biz","average_per_business","pop.2019","dollar_per_cap"
"1","Alabama",32.318231,-86.902298,6399008629,4524583629,8273433629,65141,98233.1961283984,4903185,1305.07183167676
"2","Alaska",63.588753,-154.493062,1280250364,895800364,1664700364,10972,116683.409041196,731545,1750.06371993521
"3","Arizona",34.048928,-111.093731,9100346576,6312946576,11887746576,80410,113174.313841562,7278717,1250.26794914543
"4","Arkansas",35.20105,-91.831833,3383134422,2447559422,4318709422,41995,80560.4100964401,3017825,1121.05056522496
"5","California",36.778261,-119.417932,73012005232,50175380232,95848630232,577645,126395.978900536,39512223,1847.83339656693
"6","Colorado",39.550051,-105.782067,10920104072,7653204072,14187004072,103527,105480.735189854,5758736,1896.26752676282
"7","Connecticut",41.603221,-73.087749,7145495786,4938770786,9352220786,60623,117867.736436666,3565287,2004.18529728462
"8","Delaware",38.910832,-75.52767,1611673956,1104498956,2118848956,12371,130278.389459219,973764,1655.09708307146
"9","Florida",27.664827,-81.515754,34883586066,25170811066,44596361066,428729,81365.1189119467,21477737,1624.17418864939
"10","Georgia",32.157435,-82.907123,14991673502,10607598502,19375748502,155375,96487.0378246179,10617423,1411.9879656297
"11","Hawaii",19.898682,-155.665857,2438904747,1725904747,3151904747,24174,100889.58165798,1415872,1722.54606842991
"12","Idaho",44.068202,-114.742041,2611798816,1888448816,3335148816,29811,87611.9156016236,1787065,1461.5018569554
"13","Illinois",40.633125,-89.398528,23706500800,16253425800,31159575800,200575,118192.699987536,12671821,1870.80458286145
"14","Indiana",40.551217,-85.602364,9911758735,6781708735,13041808735,78382,126454.526995994,6732219,1472.28703270051
"15","Iowa",41.878003,-93.097702,5296184340,3708684340,6883684340,58064,91212.8744144392,3155070,1678.62657246907
"16","Kansas",39.011902,-98.484246,5175157047,3584707047,6765607047,51391,100701.621820941,2913314,1776.38148411054
"17","Kentucky",37.839333,-84.270018,5325712828,3721437828,6929987828,47672,111715.74148347,4467673,1192.05519920549
"18","Louisiana",31.244823,-92.145024,7577017967,5308067967,9845967967,73088,103669.794863726,4648794,1629.88894904786
"19","Maine",45.253783,-69.445469,2413041808,1748241808,3077841808,29226,82564.901389174,1344212,1795.13485075271
"20","Maryland",39.045755,-76.641271,10831048079,7365923079,14296173079,80844,133974.668237593,6045680,1791.53512574268
"21","Massachusetts",42.407211,-71.382437,15268083915,10425258915,20110908915,112229,136044.016386139,6949503,2197.00371594918
"22","Michigan",44.314844,-85.602364,16875002075,11539402075,22210602075,120033,140586.356043755,9986857,1689.72100782058
"23","Minnesota",46.729553,-94.6859,11801051001,8049576001,15552526001,97236,121365.039707516,5639632,2092.52146257061
"24","Mississippi",32.354668,-89.398528,3214236285,2360111285,4068361285,45365,70852.778243139,2976149,1079.9984426183
"25","Missouri",37.964253,-91.831833,9512568460,6614518460,12410618460,90582,105016.100991367,6137428,1549.92750383385
"26","Montana",46.879682,-110.362566,1753827494,1294227494,2213427494,22883,76643.2501857274,1068778,1640.96519015174
