ZIP_CODE,PO_NAME,STATE,ZIP_TYPE,Zipcpde_Count,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS
10001,New York,NY,Zip Code Area,58,New York,New York,36,61,36061
10002,New York,NY,Zip Code Area,18,New York,New York,36,61,36061
10003,New York,NY,Zip Code Area,32,New York,New York,36,61,36061
10004,New York,NY,Zip Code Area,31,Hudson,New Jersey,34,17,34017
10005,New York,NY,Zip Code Area,54,Hudson,New Jersey,34,17,34017
10006,New York,NY,Zip Code Area,32,Hudson,New Jersey,34,17,34017
10007,New York,NY,Zip Code Area,21,Hudson,New Jersey,34,17,34017
10008,New York,NY,Post Office or large volume customer,1,Hudson,New Jersey,34,17,34017
10009,New York,NY,Zip Code Area,2,New York,New York,36,61,36061
10010,New York,NY,Zip Code Area,22,New York,New York,36,61,36061
10011,New York,NY,Zip Code Area,23,New York,New York,36,61,36061
10012,New York,NY,Zip Code Area,45,New York,New York,36,61,36061
10013,New York,NY,Zip Code Area,44,New York,New York,36,61,36061
10014,New York,NY,Zip Code Area,16,New York,New York,36,61,36061
10016,New York,NY,Zip Code Area,32,New York,New York,36,61,36061
10017,New York,NY,Zip Code Area,18,New York,New York,36,61,36061
10018,New York,NY,Zip Code Area,83,New York,New York,36,61,36061
10019,New York,NY,Zip Code Area,45,New York,New York,36,61,36061
10020,New York,NY,Zip Code Area,6,New York,New York,36,61,36061
10021,New York,NY,Zip Code Area,11,New York,New York,36,61,36061
10022,New York,NY,Zip Code Area,29,New York,New York,36,61,36061
10023,New York,NY,Zip Code Area,10,New York,New York,36,61,36061
10024,New York,NY,Zip Code Area,5,New York,New York,36,61,36061
10025,New York,NY,Zip Code Area,5,New York,New York,36,61,36061
10026,New York,NY,Zip Code Area,1,New York,New York,36,61,36061
10027,New York,NY,Zip Code Area,4,New York,New York,36,61,36061
10028,New York,NY,Zip Code Area,5,New York,New York,36,61,36061
10029,New York,NY,Zip Code Area,4,New York,New York,36,61,36061
10030,New York,NY,Zip Code Area,2,New York,New York,36,61,36061
10031,New York,NY,Zip Code Area,1,New York,New York,36,61,36061
10032,New York,NY,Zip Code Area,2,New York,New York,36,61,36061
10033,New York,NY,Zip Code Area,4,New York,New York,36,61,36061
10034,New York,NY,Zip Code Area,4,New York,New York,36,61,36061
10035,New York,NY,Zip Code Area,4,New York,New York,36,61,36061
10036,New York,NY,Zip Code Area,45,New York,New York,36,61,36061
10038,New York,NY,Zip Code Area,15,New York,New York,36,61,36061
10039,New York,NY,Zip Code Area,1,New York,New York,36,61,36061
10065,New York,NY,Zip Code Area,3,New York,New York,36,61,36061
10069,New York,NY,Zip Code Area,1,Hudson,New Jersey,34,17,34017
10075,New York,NY,Zip Code Area,1,New York,New York,36,61,36061
10101,New York,NY,Post Office or large volume customer,1,New York,New York,36,61,36061
10106,New York,NY,Post Office or large volume customer,2,New York,New York,36,61,36061
10118,New York,NY,Post Office or large volume customer,2,New York,New York,36,61,36061
10119,New York,NY,Post Office or large volume customer,3,New York,New York,36,61,36061
10122,New York,NY,Post Office or large volume customer,2,New York,New York,36,61,36061
10123,New York,NY,Post Office or large volume customer,1,New York,New York,36,61,36061
10128,New York,NY,Zip Code Area,5,New York,New York,36,61,36061
10158,New York,NY,Post Office or large volume customer,1,New York,New York,36,61,36061
10165,New York,NY,Post Office or large volume customer,5,New York,New York,36,61,36061
10166,New York,NY,Post Office or large volume customer,2,New York,New York,36,61,36061
10167,New York,NY,Post Office or large volume customer,3,New York,New York,36,61,36061
10168,New York,NY,Zip Code Area,1,New York,New York,36,61,36061
10169,New York,NY,Post Office or large volume customer,3,New York,New York,36,61,36061
10170,New York,NY,Post Office or large volume customer,1,New York,New York,36,61,36061
10176,New York,NY,Post Office or large volume customer,1,New York,New York,36,61,36061
10177,New York,NY,Post Office or large volume customer,2,New York,New York,36,61,36061
10268,New York,NY,Post Office or large volume customer,1,Hudson,New Jersey,34,17,34017
10271,New York,NY,Post Office or large volume customer,10,Hudson,New Jersey,34,17,34017
10279,New York,NY,Post Office or large volume customer,5,Hudson,New Jersey,34,17,34017
10280,New York,NY,Zip Code Area,1,Hudson,New Jersey,34,17,34017
10282,New York,NY,Zip Code Area,2,Hudson,New Jersey,34,17,34017
10301,Staten Island,NY,Zip Code Area,6,Richmond,New York,36,85,36085
10303,Staten Island,NY,Zip Code Area,1,Richmond,New York,36,85,36085
10304,Staten Island,NY,Zip Code Area,4,Richmond,New York,36,85,36085
10306,Staten Island,NY,Zip Code Area,4,Richmond,New York,36,85,36085
10307,Staten Island,NY,Zip Code Area,1,Richmond,New York,36,85,36085
10308,Staten Island,NY,Zip Code Area,1,Richmond,New York,36,85,36085
10309,Staten Island,NY,Zip Code Area,2,Richmond,New York,36,85,36085
10311,Staten Island,NY,Post Office or large volume customer,1,Richmond,New York,36,85,36085
10312,Staten Island,NY,Zip Code Area,1,Richmond,New York,36,85,36085
10314,Staten Island,NY,Zip Code Area,3,Richmond,New York,36,85,36085
10451,Bronx,NY,Zip Code Area,3,Bronx,New York,36,5,36005
10452,Bronx,NY,Zip Code Area,1,New York,New York,36,61,36061
10453,Bronx,NY,Zip Code Area,1,New York,New York,36,61,36061
10455,Bronx,NY,Zip Code Area,2,Bronx,New York,36,5,36005
10456,Bronx,NY,Zip Code Area,2,Bronx,New York,36,5,36005
10457,Bronx,NY,Zip Code Area,1,Bronx,New York,36,5,36005
10458,Bronx,NY,Zip Code Area,1,Bronx,New York,36,5,36005
10459,Bronx,NY,Zip Code Area,4,Bronx,New York,36,5,36005
10461,Bronx,NY,Zip Code Area,2,Bronx,New York,36,5,36005
10462,Bronx,NY,Zip Code Area,1,Bronx,New York,36,5,36005
10463,Bronx,NY,Zip Code Area,1,Bronx,New York,36,5,36005
10464,Bronx,NY,Zip Code Area,1,Bronx,New York,36,5,36005
10465,Bronx,NY,Zip Code Area,2,Bronx,New York,36,5,36005
10467,Bronx,NY,Zip Code Area,3,Bronx,New York,36,5,36005
10469,Bronx,NY,Zip Code Area,2,Bronx,New York,36,5,36005
10470,Bronx,NY,Zip Code Area,1,Bronx,New York,36,5,36005
10474,Bronx,NY,Zip Code Area,27,Bronx,New York,36,5,36005
10475,Bronx,NY,Zip Code Area,2,Bronx,New York,36,5,36005
10502,Ardsley,NY,Zip Code Area,1,Westchester,New York,36,119,36119
10504,Armonk,NY,Zip Code Area,2,Westchester,New York,36,119,36119
10506,Bedford,NY,Zip Code Area,1,Westchester,New York,36,119,36119
10509,Brewster,NY,Zip Code Area,2,Putnam,New York,36,79,36079
10510,Briarcliff Manor,NY,Zip Code Area,3,Westchester,New York,36,119,36119
10512,Carmel,NY,Zip Code Area,1,Putnam,New York,36,79,36079
10516,Cold Spring,NY,Zip Code Area,3,Putnam,New York,36,79,36079
10519,Croton Falls,NY,Post Office or large volume customer,7,Westchester,New York,36,119,36119
10520,Croton on Hudson,NY,Zip Code Area,1,Westchester,New York,36,119,36119
10522,Dobbs Ferry,NY,Zip Code Area,1,Westchester,New York,36,119,36119
10523,Elmsford,NY,Zip Code Area,3,Westchester,New York,36,119,36119
10524,Garrison,NY,Zip Code Area,2,Putnam,New York,36,79,36079
10528,Harrison,NY,Zip Code Area,2,Westchester,New York,36,119,36119
10530,Hartsdale,NY,Zip Code Area,1,Westchester,New York,36,119,36119
10533,Irvington,NY,Zip Code Area,1,Westchester,New York,36,119,36119
10536,Katonah,NY,Zip Code Area,1,Westchester,New York,36,119,36119
10538,Larchmont,NY,Zip Code Area,1,Westchester,New York,36,119,36119
10540,Lincolndale,NY,Post Office or large volume customer,3,Westchester,New York,36,119,36119
10541,Mahopac,NY,Zip Code Area,1,Putnam,New York,36,79,36079
10542,Mahopac Falls,NY,Post Office or large volume customer,1,Putnam,New York,36,79,36079
